MSSV,ĐIỂM AV,VẮNG AV
1953004,84.5,6
1951117,84.5,12
1951145,83.5,7
1952094,83,9
1952647,82,2
1952581,81.5,11
1953095,80,4
1952571,80,2
1952361,79.5,5
1953010,79.5,0
1952063,79.5,8
1952323,79,4
1952809,79,6
1952778,79,5
1953017,79,6
1951229,78.5,4
1913374,78,0
1952551,78,2
1952493,77.5,0
1952701,77.5,5
1952406,77.5,4
1952769,77.5,2
1952667,77,3
1952495,76.5,1
1952773,76.5,8
1952932,76.5,1
1953019,76.5,3
1952116,76,4
1952915,76,8
1951020,76,19
1952702,75.5,3
1953034,75.5,10
1952682,75.5,10
1952744,75.5,6
1952939,75.5,9
1950014,75.5,2
1951160,75.5,3
1952484,75,1
1952381,75,0
1952567,75,0
1952752,75,5
1952595,75,0
1952633,75,5
1952688,75,13
1950043,75,9
1952492,74.5,0
1952371,74.5,3
1952582,74.5,10
1953018,74.5,3
1952748,74.5,3
1952960,74.5,6
1952592,74.5,1
1952650,74.5,1
1952099,74,2
1953001,74,2
1952653,74,0
1952996,74,4
1951083,74,2
1951056,74,6
1951058,74,0
1952016,73.5,6
1913960,73.5,8
1953025,73.5,15
1952526,73.5,3
1952674,73.5,2
1953115,73.5,4
1952933,73.5,0
1952498,73.5,14
1952841,73.5,2
1951189,73.5,0
1952321,73,11
1952124,73,11
1952110,73,7
1952792,73,3
1952844,73,3
1952328,73,3
1952272,73,1
1952796,73,2
1952906,73,0
1950023,73,9
1951094,73,7
1951175,73,1
1952008,72.5,3
1952225,72.5,2
1952795,72.5,4
1952815,72.5,2
1952967,72.5,1
1952226,72.5,4
1952774,72.5,5
1952191,72.5,1
1952375,72.5,13
1953077,72.5,6
1913092,72.5,4
1951031,72.5,3
1951021,72.5,0
1952389,72,11
1952048,72,2
1952851,72,10
1952563,72,13
1953114,72,2
1915806,72,0
1953051,72,11
1952597,72,7
1952690,72,6
1952912,72,2
1952516,72,4
1953045,72,2
1953096,72,2
1952593,72,0
1951140,72,4
1951133,72,0
1852903,71.5,5
1953020,71.5,2
1952302,71.5,8
1952285,71.5,4
1952833,71.5,1
1952561,71.5,13
1952978,71.5,0
1952954,71.5,21
1952733,71.5,0
1952740,71.5,13
1953057,71.5,4
1952990,71.5,15
1952918,71.5,14
1951078,71.5,3
1951221,71.5,10
1951196,71.5,0
1951178,71.5,2
1953084,71,2
1910485,71,2
1953090,71,2
1952721,71,0
1952780,71,7
1913086,71,5
1952900,71,1
1952872,71,0
1951079,71,5
1951053,71,1
1951126,71,5
1951141,71,11
1952570,70.5,8
1952953,70.5,7
1952923,70.5,3
1953024,70.5,3
1953030,70.5,3
