MSSV,ĐIỂM GDTC,VẮNG GDTC
1953004, 9.00 ,1
1951117, 13.00 ,9
1951145, 7.00 ,3
1952094, 5.00 ,3
1952647, 5.00 ,1
1952581, 5.00 ,2
1953095, 5.00 ,0
1952571, 7.00 ,0
1952361, 6.00 ,2
1953010, 6.00 ,0
1952063, 8.00 ,1
1952323, 10.00 ,0
1952809, 6.00 ,0
1952778, 5.00 ,1
1953017, 5.00 ,2
1951229, 6.00 ,0
1913374, 5.00 ,0
1952551, 5.00 ,5
1952493, 7.00 ,1
1952701, 9.00 ,2
1952406, 7.00 ,0
1952769, 4.00 ,2
1952667, 7.00 ,1
1952495, 7.00 ,2
1952773, 13.00 ,9
1952932, 7.00 ,1
1953019, 10.00 ,0
1952116, 7.00 ,3
1952915, 9.00 ,1
1951020, 7.00 ,2
1952702, 4.00 ,1
1953034, 6.00 ,0
1952682, 5.00 ,1
1952744, 5.00 ,0
1952939, 13.00 ,14
1950014, 7.00 ,0
1951160, 7.00 ,0
1952484, 5.00 ,0
1952381, 5.00 ,1
1952567, 5.00 ,0
1952752, 4.00 ,1
1952595, 6.00 ,0
1952633, 7.00 ,2
1952688, 6.00 ,1
1950043, 5.00 ,2
1952492, 8.00 ,0
1952371, 6.00 ,1
1952582, 7.00 ,1
1953018, 5.00 ,2
1952748, 8.00 ,0
1952960, 6.00 ,4
1952592, 7.00 ,2
1952650, 6.00 ,0
1952099, 8.00 ,1
1953001, 5.00 ,0
1952653, 8.00 ,0
1952996, 7.00 ,0
1951083, 6.00 ,0
1951056, 5.00 ,1
1951058, 8.00 ,0
1952016, 6.00 ,0
1913960, 6.00 ,1
1953025, 4.00 ,3
1952526, 7.00 ,0
1952674, 3.00 ,0
1953115, 7.00 ,0
1952933, 6.00 ,0
1952498, 4.00 ,3
1952841, 7.00 ,1
1951189, 7.00 ,0
1952321, 6.00 ,2
1952124, 8.00 ,2
1952110, 9.00 ,1
1952792, 7.00 ,0
1952844, 8.00 ,0
1952328, 6.00 ,0
1952272, 8.00 ,0
1952796, 5.00 ,2
1952906, 6.00 ,0
1950023, 7.00 ,2
1951094, 5.00 ,1
1951175, 4.00 ,3
1952008, 10.00 ,0
1952225, 5.00 ,1
1952795, 8.00 ,1
1952815, 6.00 ,0
1952967, 6.00 ,1
1952226, 6.00 ,1
1952774, 5.00 ,1
1952191, 6.00 ,1
1952375, 5.00 ,0
1953077, 5.00 ,2
1913092, 5.00 ,1
1951031, 5.00 ,2
1951021, 5.00 ,0
1952389, 9.00 ,0
1952048, 5.00 ,1
1952851, 4.00 ,2
1952563, 13.00 ,13
1953114, 5.00 ,0
1915806, 7.00 ,1
1953051, 6.00 ,2
1952597, 9.00 ,0
1952690, 13.00 ,8
1952912, 6.00 ,0
1952516, 5.00 ,2
1953045, 7.00 ,1
1953096, 6.00 ,0
1952593, 7.00 ,0
1951140, 5.00 ,3
1951133, 6.00 ,0
1852903, 5.00 ,2
1953020, 7.00 ,2
1952302, 8.00 ,2
1952285, 6.00 ,0
1952833, 7.00 ,0
1952561, 4.00 ,1
1952978, 7.00 ,0
1952954, 5.00 ,3
1952733, 5.00 ,1
1952740, 5.00 ,1
1953057, 6.00 ,0
1952990, 5.00 ,1
1952918, 7.00 ,0
1951078, 8.00 ,1
1951221, 13.00 ,5
1951196, 5.00 ,0
1951178, 5.00 ,0
1953084, 7.00 ,0
1910485, 9.00 ,1
1953090, 8.00 ,2
1952721, 5.00 ,0
1952780, 7.00 ,3
1913086, 5.00 ,1
1952900, 7.00 ,0
1952872, 6.00 ,0
1951079, 5.00 ,1
1951053, 5.00 ,0
1951126, 7.00 ,1
1951141, 7.00 ,2
1952570, 8.00 ,1
1952953, 5.00 ,1
1952923, 8.00 ,1
1953024, 9.00 ,0
1953030, 5.00 ,0
1952987, 7.00 ,0
1952467, 6.00 ,0
1952655, 7.00 ,0
1952913, 7.00 ,0
1952402, 6.00 ,0
1952386, 6.00 ,3
1952863, 6.00 ,0
1952710, 5.00 ,2
1952746, 5.00 ,0
1952605, 13.00 ,6
1950038, 6.00 ,0
1951067, 7.00 ,0
1951085, 7.00 ,0
1911127, 6.00 ,0
1951199, 6.00 ,0
1952826, 8.00 ,2
1952607, 5.00 ,1
1952589, 5.00 ,3
1952944, 3.00 ,2
1953078, 7.00 ,1
1952600, 6.00 ,0
1952617, 5.00 ,2
1952606, 6.00 ,2
1952652, 7.00 ,0
1953070, 6.00 ,0
1952853, 1.00 ,2
1952716, 13.00 ,3
1953050, 7.00 ,0
1951040, 6.00 ,1
1952864, 6.00 ,0
1952694, 7.00 ,1
1953064, 6.00 ,1
1952640, 5.00 ,2
1952896, 13.00 ,9
1952542, 6.00 ,0
1953015, 13.00 ,3
1952950, 6.00 ,0
1953006, 8.00 ,0
1952163, 6.00 ,0
1952868, 5.00 ,1
1952730, 7.00 ,0
1953087, 5.00 ,2
1952471, 6.00 ,1
1952676, 6.00 ,0
1952794, 8.00 ,0
1952972, 5.00 ,2
1914470, 8.00 ,1
1952643, 6.00 ,1
1952560, 5.00 ,3
1950006, 4.00 ,3
1951212, 3.00 ,3
1951224, 5.00 ,1
1951132, 8.00 ,0
1952340, 5.00 ,0
1953014, 7.00 ,0
1911557, 1.00 ,4
1952938, 5.00 ,2
1953112, 7.00 ,2
1952637, 6.00 ,1
1952451, 6.00 ,0
1952856, 7.00 ,2
1952797, 5.00 ,0
1952072, 5.00 ,1
1952999, 7.00 ,2
1952636, 7.00 ,1
1953041, 8.00 ,0
1952940, 7.00 ,0
1953107, 5.00 ,6
1952106, 7.00 ,2
1952934, 10.00 ,1
1951098, 6.00 ,0
1952145, 5.00 ,2
1953083, 10.00 ,3
1953023, 6.00 ,0
1952397, 8.00 ,0
1952641, 4.00 ,1
1951109, 7.00 ,0
1951176, 4.00 ,8
1953110, 6.00 ,1
1952887, 5.00 ,2
1952775, 7.00 ,2
1952611, 5.00 ,3
1952875, 5.00 ,3
1952837, 7.00 ,0
1952622, 5.00 ,0
1952642, 6.00 ,0
1952626, 5.00 ,1
1952974, 5.00 ,0
1952289, 9.00 ,0
1913008, 3.00 ,3
1952435, 7.00 ,1
1952533, 8.00 ,0
1952601, 13.00 ,8
1952703, 6.00 ,1
1952737, 3.00 ,3
1952211, 5.00 ,2
1952378, 1.00 ,2
1952908, 5.00 ,0
1952772, 5.00 ,1
1952901, 8.00 ,0
1950024, 3.00 ,5
1951004, 6.00 ,3
1951211, 7.00 ,0
1951219, 8.00 ,0
1952468, 5.00 ,3
1952356, 3.00 ,2
1952306, 6.00 ,1
1952920, 5.00 ,0
1952781, 7.00 ,0
1953113, 6.00 ,1
1952217, 8.00 ,0
1953026, 6.00 ,1
1952685, 8.00 ,0
1952880, 7.00 ,2
1952610, 6.00 ,0
1952550, 7.00 ,0
1952224, 7.00 ,1
1952027, 7.00 ,1
1952598, 8.00 ,2
1952579, 13.00 ,5
1952770, 5.00 ,0
1953062, 9.00 ,1
1952646, 2.00 ,4
