MSSV,ĐIỂM KNM,VẮNG KNM
1953004, 7.00 ,1
1951117, 7.00 ,3
1951145, 8.00 ,3
1952094, 10.00 ,0
1952647, 8.00 ,3
1952581, 7.50 ,1
1953095, 8.50 ,1
1952571, 9.00 ,0
1952361, 8.50 ,0
1953010, 9.50 ,0
1952063, 9.50 ,0
1952323, 8.50 ,0
1952809, 9.00 ,0
1952778, 8.00 ,0
1953017, 8.50 ,2
1951229, 9.50 ,0
1913374, 8.50 ,1
1952551, 7.50 ,2
1952493, 8.50 ,0
1952701, 9.50 ,2
1952406, 10.00 ,0
1952769, 8.50 ,1
1952667, 8.50 ,0
1952495, 9.00 ,0
1952773, 8.00 ,0
1952932, 10.00 ,0
1953019, 8.50 ,0
1952116, 8.50 ,1
1952915, 9.00 ,2
1951020, 8.50 ,0
1952702, 8.00 ,1
1953034, 9.00 ,1
1952682, 9.00 ,2
1952744, 10.00 ,0
1952939, 7.50 ,0
1950014, 9.00 ,0
1951160, 9.00 ,2
1952484, 8.50 ,0
1952381, 9.00 ,0
1952567, 9.50 ,0
1952752, 8.50 ,1
1952595, 9.50 ,0
1952633, 9.50 ,2
1952688, 8.50 ,0
1950043, 8.00 ,0
1952492, 8.50 ,0
1952371, 8.00 ,1
1952582, 10.00 ,1
1953018, 8.50 ,0
1952748, 9.50 ,0
1952960, 9.00 ,4
1952592, 9.50 ,0
1952650, 8.50 ,0
1952099, 9.00 ,0
1953001, 7.50 ,3
1952653, 8.00 ,0
1952996, 8.50 ,0
1951083, 10.00 ,0
1951056, 9.50 ,0
1951058, 7.50 ,0
1952016, 10.00 ,1
1913960, 10.00 ,2
1953025, 9.00 ,0
1952526, 8.50 ,1
1952674, 8.50 ,0
1953115, 8.00 ,1
1952933, 7.50 ,0
1952498, 8.50 ,1
1952841, 9.00 ,0
1951189, 7.50 ,0
1952321, 9.00 ,0
1952124, 7.50 ,2
1952110, 9.50 ,0
1952792, 8.00 ,0
1952844, 8.50 ,0
1952328, 9.00 ,0
1952272, 8.50 ,2
1952796, 8.50 ,0
1952906, 9.50 ,1
1950023, 9.00 ,2
1951094, 9.00 ,0
1951175, 8.00 ,0
1952008, 8.00 ,1
1952225, 9.00 ,0
1952795, 8.50 ,0
1952815, 9.00 ,1
1952967, 10.00 ,0
1952226, 8.50 ,1
1952774, 9.00 ,0
1952191, 9.50 ,0
1952375, 8.50 ,0
1953077, 8.00 ,2
1913092, 8.50 ,0
1951031, 8.00 ,0
1951021, 10.00 ,0
1952389, 7.50 ,2
1952048, 7.50 ,1
1952851, 9.50 ,0
1952563, 8.50 ,4
1953114, 7.50 ,0
1915806, 8.50 ,0
1953051, 9.50 ,0
1952597, 8.50 ,4
1952690, 7.00 ,3
1952912, 9.50 ,0
1952516, 8.00 ,0
1953045, 7.00 ,0
1953096, 7.50 ,1
1952593, 8.00 ,0
1951140, 10.00 ,1
1951133, 8.50 ,0
1852903, 9.00 ,1
1953020, 8.50 ,1
1952302, 9.00 ,2
1952285, 9.00 ,0
1952833, 8.50 ,0
1952561, 8.50 ,1
1952978, 9.50 ,0
1952954, 7.00 ,3
1952733, 7.50 ,1
1952740, 10.00 ,0
1953057, 9.50 ,1
1952990, 9.00 ,0
1952918, 9.00 ,2
1951078, 9.00 ,0
1951221, 7.00 ,1
1951196, 5.00 ,1
1951178, 7.50 ,0
1953084, 10.00 ,0
1910485, 8.50 ,0
1953090, 9.50 ,0
1952721, 9.00 ,1
1952780, 10.00 ,2
1913086, 8.50 ,0
1952900, 8.50 ,0
1952872, 8.00 ,1
1951079, 9.50 ,0
1951053, 9.50 ,0
1951126, 10.00 ,0
1951141, 9.50 ,2
1952570, 8.50 ,2
1952953, 8.50 ,0
1952923, 8.00 ,0
1953024, 8.00 ,0
