MSSV,ĐIỂM KNXH,VẮNG KNXH
1953004, 8.00 ,2
1951117, 6.00 ,2
1951145, 7.00 ,3
1952094, 8.00 ,1
1952647, 8.00 ,0
1952581, 8.00 ,3
1953095, 7.00 ,1
1952571, 9.00 ,1
1952361, 8.00 ,1
1953010, 8.00 ,1
1952063, 9.00 ,0
1952323, 7.00 ,1
1952809, 8.00 ,1
1952778, 7.00 ,1
1953017, 7.00 ,1
1951229, 7.00 ,1
1913374, 8.00 ,0
1952551, 8.00 ,1
1952493, 8.00 ,2
1952701, 8.00 ,2
1952406, 8.00 ,0
1952769, 7.00 ,1
1952667, 7.00 ,0
1952495, 6.00 ,2
1952773, 8.00 ,2
1952932, 8.00 ,1
1953019, 8.00 ,1
1952116, 8.00 ,0
1952915, 8.00 ,1
1951020, 8.00 ,2
1952702, 7.00 ,1
1953034, 8.00 ,0
1952682, 8.00 ,1
1952744, 7.00 ,0
1952939, 8.00 ,2
1950014, 5.00 ,0
1951160, 8.00 ,2
1952484, 7.00 ,2
1952381, 9.00 ,0
1952567, 8.00 ,0
1952752, 8.00 ,2
1952595, 8.00 ,0
1952633, 8.00 ,0
1952688, 7.00 ,0
1950043, 8.00 ,1
1952492, 5.00 ,0
1952371, 9.00 ,1
1952582, 7.00 ,2
1953018, 9.00 ,1
1952748, 7.00 ,0
1952960, 8.00 ,5
1952592, 8.00 ,0
1952650, 8.00 ,1
1952099, 8.00 ,1
1953001, 7.00 ,0
1952653, 7.00 ,1
1952996, 9.00 ,2
1951083, 8.00 ,0
1951056, 8.00 ,0
1951058, 8.00 ,1
1952016, 8.00 ,1
1913960, 7.00 ,0
1953025, 8.00 ,4
1952526, 8.00 ,1
1952674, 6.00 ,0
1953115, 8.00 ,1
1952933, 6.00 ,0
1952498, 8.00 ,1
1952841, 6.00 ,1
1951189, 8.00 ,0
1952321, 6.00 ,1
1952124, 8.00 ,1
1952110, 9.00 ,0
1952792, 6.00 ,0
1952844, 8.00 ,1
1952328, 8.00 ,1
1952272, 8.00 ,0
1952796, 9.00 ,2
1952906, 8.00 ,0
1950023, 8.00 ,0
1951094, 7.00 ,1
1951175, 7.00 ,1
1952008, 9.00 ,0
1952225, 9.00 ,0
1952795, 8.00 ,2
1952815, 5.00 ,1
1952967, 6.00 ,1
1952226, 8.00 ,1
1952774, 8.00 ,1
1952191, 7.00 ,0
1952375, 4.00 ,0
1953077, 7.00 ,1
1913092, 8.00 ,1
1951031, 5.00 ,1
1951021, 6.00 ,0
1952389, 8.00 ,1
1952048, 6.00 ,2
1952851, 6.00 ,1
1952563, 13.00 ,8
1953114, 9.00 ,0
1915806, 7.00 ,0
1953051, 8.00 ,1
1952597, 7.00 ,1
1952690, 8.00 ,2
1952912, 8.00 ,0
1952516, 9.00 ,1
1953045, 6.00 ,2
1953096, 9.00 ,0
1952593, 5.00 ,0
1951140, 9.00 ,1
1951133, 9.00 ,2
1852903, 6.00 ,3
1953020, 9.00 ,1
1952302, 8.00 ,1
1952285, 5.00 ,0
1952833, 8.00 ,1
1952561, 6.00 ,1
1952978, 7.00 ,0
1952954, 8.00 ,2
1952733, 8.00 ,1
1952740, 8.00 ,2
1953057, 8.00 ,2
1952990, 8.00 ,1
1952918, 5.00 ,3
1951078, 8.00 ,0
1951221, 7.00 ,0
1951196, 7.00 ,0
1951178, 7.00 ,0
1953084, 8.00 ,1
1910485, 7.00 ,2
1953090, 7.00 ,0
1952721, 9.00 ,0
1952780, 4.00 ,1
1913086, 7.00 ,2
1952900, 8.00 ,0
1952872, 8.00 ,1
1951079, 7.00 ,1
1951053, 8.00 ,1
1951126, 7.00 ,0
1951141, 8.00 ,2
1952570, 8.00 ,0
1952953, 8.00 ,1
1952923, 6.00 ,0
1953024, 7.00 ,1
1953030, 7.00 ,0
1952987, 9.00 ,0
1952467, 7.00 ,0
1952655, 7.00 ,1
1952913, 8.00 ,0
1952402, 8.00 ,1
1952386, 7.00 ,1
1952863, 9.00 ,0
1952710, 7.00 ,2
1952746, 6.00 ,1
1952605, 6.00 ,3
1950038, 8.00 ,0
1951067, 9.00 ,1
1951085, 9.00 ,0
1911127, 13.00 ,6
1951199, 8.00 ,3
1952826, 8.00 ,2
1952607, 7.00 ,0
1952589, 7.00 ,0
1952944, 9.00 ,3
1953078, 8.00 ,0
1952600, 5.00 ,0
1952617, 7.00 ,0
1952606, 5.00 ,2
1952652, 7.00 ,0
1953070, 8.00 ,2
1952853, 8.00 ,0
1952716, 9.00 ,0
1953050, 8.00 ,1
1951040, 8.00 ,1
1952864, 8.00 ,1
1952694, 5.00 ,1
1953064, 8.00 ,1
1952640, 9.00 ,2
1952896, 7.00 ,0
1952542, 8.00 ,0
1953015, 8.00 ,1
1952950, 7.00 ,0
1953006, 9.00 ,0
1952163, 7.00 ,0
1952868, 8.00 ,0
1952730, 8.00 ,0
1953087, 8.00 ,2
1952471, 8.00 ,1
1952676, 8.00 ,0
1952794, 8.00 ,2
1952972, 7.00 ,1
1914470, 8.00 ,2
1952643, 8.00 ,0
1952560, 9.00 ,1
1950006, 8.00 ,0
1951212, 8.00 ,3
1951224, 8.00 ,1
1951132, 5.00 ,0
1952340, 8.00 ,1
1953014, 9.00 ,0
1911557, 8.00 ,0
1952938, 7.00 ,0
1953112, 8.00 ,2
1952637, 8.00 ,2
1952451, 7.00 ,0
1952856, 7.00 ,2
1952797, 5.00 ,0
1952072, 7.00 ,1
1952999, 9.00 ,1
1952636, 7.00 ,1
1953041, 8.00 ,3
1952940, 8.00 ,1
1953107, 8.00 ,0
1952106, 6.00 ,1
1952934, 8.00 ,0
1951098, 9.00 ,0
1952145, 9.00 ,2
1953083, 8.00 ,0
1953023, 8.00 ,0
1952397, 7.00 ,0
1952641, 7.00 ,2
1951109, 8.00 ,0
1951176, 8.00 ,5
1953110, 8.00 ,0
1952887, 8.00 ,1
1952775, 7.00 ,0
1952611, 7.00 ,1
1952875, 9.00 ,2
1952837, 8.00 ,2
1952622, 6.00 ,0
1952642, 5.00 ,0
1952626, 7.00 ,0
1952974, 8.00 ,0
1952289, 8.00 ,0
1913008, 7.00 ,2
1952435, 6.00 ,0
1952533, 5.00 ,1
1952601, 6.00 ,0
1952703, 7.00 ,2
1952737, 7.00 ,0
1952211, 7.00 ,1
1952378, 8.00 ,1
1952908, 7.00 ,1
1952772, 8.00 ,1
1952901, 8.00 ,0
1950024, 7.00 ,3
1951004, 7.00 ,1
1951211, 9.00 ,1
1951219, 9.00 ,1
1952468, 8.00 ,0
1952356, 7.00 ,1
1952306, 9.00 ,2
1952920, 6.00 ,2
1952781, 7.00 ,1
1953113, 8.00 ,0
1952217, 7.00 ,0
1953026, 8.00 ,1
1952685, 10.00 ,0
1952880, 9.00 ,2
1952610, 9.00 ,0
1952550, 7.00 ,1
1952224, 8.00 ,0
1952027, 8.00 ,0
1952598, 6.00 ,2
1952579, 8.00 ,3
1952770, 8.00 ,1
1953062, 8.00 ,0
1952646, 8.00 ,1
1913299, 9.00 ,2
1951081, 8.00 ,1
